Date,Open,High,Low,Close,Adj Close,Volume
2023-06-12,140.02,143.28,140.02,142.0,142.0,4236033.0
2023-06-13,142.0,144.19,141.6,143.19,143.19,11622594.0
2023-06-14,142.91,143.88,141.64,143.33,143.33,6623009.0
2023-06-15,143.03,145.58,142.58,145.14,145.14,6552999.0
2023-06-16,145.49,145.49,143.44,144.5,144.5,18351206.0
2023-06-19,143.5,144.27,143.21,143.44,143.44,833221.0
2023-06-20,143.74,144.05,139.86,140.41,140.41,4036654.0
2023-06-21,140.11,140.44,138.11,139.3,139.3,3116250.0
2023-06-22,139.0,139.72,136.5,137.25,137.25,4480884.0
2023-06-23,137.88,138.44,136.55,137.55,137.55,6275784.0
2023-06-26,137.97,138.47,136.72,137.38,137.38,3914318.0
2023-06-27,137.66,140.36,137.11,139.57,139.57,6987016.0
2023-06-28,139.99,141.46,139.02,139.63,139.63,2656311.0
2023-06-29,139.8,142.75,139.0,142.42,142.42,3666141.0
2023-06-30,141.69,142.66,139.77,140.82,140.82,6119521.0
