fecha,tipo_ingreso,linea,ingreso
2022-01-10,QR/Validación,Línea 6,0.0
2022-01-10,QR/Validación,Línea 7,0.0
2022-01-10,QR/Validación,Línea 8,0.0
2022-01-10,QR/Validación,Línea 9,9330.0
2022-01-10,QR/Validación,Línea A,0.0
2022-01-10,QR/Validación,Línea B,0.0
2022-01-10,QR/Validación,Línea 12,0.0
2022-01-11,Boletos,Línea 1,662400.0
2022-01-11,Boletos,Línea 2,618965.0
2022-01-11,Boletos,Línea 3,489320.0
2022-01-11,Boletos,Línea 4,98825.0
2022-01-11,Boletos,Línea 5,216025.0
2022-01-11,Boletos,Línea 6,103325.0
2022-01-11,Boletos,Línea 7,230500.0
2022-01-11,Boletos,Línea 8,358125.0
2022-01-11,Boletos,Línea 9,259800.0
2022-01-11,Boletos,Línea A,319825.0
2022-01-11,Boletos,Línea B,449700.0
2022-01-11,Boletos,Línea 12,0.0
2022-01-11,Recargas,Línea 1,1116474.4
2022-01-11,Recargas,Línea 2,1250099.5
2022-01-11,Recargas,Línea 3,1260949.3
2022-01-11,Recargas,Línea 4,128423.0
2022-01-11,Recargas,Línea 5,362665.5
2022-01-11,Recargas,Línea 6,223679.3
2022-01-11,Recargas,Línea 7,652460.5
2022-01-11,Recargas,Línea 8,851383.1
2022-01-11,Recargas,Línea 9,685880.7
2022-01-11,Recargas,Línea A,544869.5
2022-01-11,Recargas,Línea B,857302.2
2022-01-11,Recargas,Línea 12,0.0
2022-01-11,Tarjetas,Línea 1,12930.0
2022-01-11,Tarjetas,Línea 2,11880.0
2022-01-11,Tarjetas,Línea 3,9810.0
2022-01-11,Tarjetas,Línea 4,615.0
2022-01-11,Tarjetas,Línea 5,3210.0
2022-01-11,Tarjetas,Línea 6,1515.0
2022-01-11,Tarjetas,Línea 7,4020.0
2022-01-11,Tarjetas,Línea 8,6120.0
2022-01-11,Tarjetas,Línea 9,4800.0
2022-01-11,Tarjetas,Línea A,4440.0
2022-01-11,Tarjetas,Línea B,5790.0
2022-01-11,Tarjetas,Línea 12,0.0
2022-01-11,QR/Validación,Línea 1,0.0
2022-01-11,QR/Validación,Línea 2,0.0
2022-01-11,QR/Validación,Línea 3,0.0
2022-01-11,QR/Validación,Línea 4,0.0
2022-01-11,QR/Validación,Línea 5,0.0
2022-01-11,QR/Validación,Línea 6,0.0
2022-01-11,QR/Validación,Línea 7,0.0
2022-01-11,QR/Validación,Línea 8,0.0
2022-01-11,QR/Validación,Línea 9,10075.0
2022-01-11,QR/Validación,Línea A,0.0
2022-01-11,QR/Validación,Línea B,0.0
2022-01-11,QR/Validación,Línea 12,0.0
2022-01-12,Boletos,Línea 1,669200.0
2022-01-12,Boletos,Línea 2,607585.0
2022-01-12,Boletos,Línea 3,503570.0
2022-01-12,Boletos,Línea 4,97250.0
2022-01-12,Boletos,Línea 5,218875.0
2022-01-12,Boletos,Línea 6,106525.0
2022-01-12,Boletos,Línea 7,229950.0
2022-01-12,Boletos,Línea 8,349600.0
2022-01-12,Boletos,Línea 9,258475.0
2022-01-12,Boletos,Línea A,323250.0
2022-01-12,Boletos,Línea B,478375.0
2022-01-12,Boletos,Línea 12,0.0
2022-01-12,Recargas,Línea 1,1036451.6
2022-01-12,Recargas,Línea 2,1166989.1
2022-01-12,Recargas,Línea 3,1192828.8
2022-01-12,Recargas,Línea 4,116011.0
2022-01-12,Recargas,Línea 5,319387.7
2022-01-12,Recargas,Línea 6,200437.5
2022-01-12,Recargas,Línea 7,593036.5
2022-01-12,Recargas,Línea 8,793155.6
2022-01-12,Recargas,Línea 9,592331.0
2022-01-12,Recargas,Línea A,480596.4
2022-01-12,Recargas,Línea B,754386.8
2022-01-12,Recargas,Línea 12,0.0
2022-01-12,Tarjetas,Línea 1,10365.0
2022-01-12,Tarjetas,Línea 2,10800.0
2022-01-12,Tarjetas,Línea 3,8400.0
2022-01-12,Tarjetas,Línea 4,495.0
2022-01-12,Tarjetas,Línea 5,2760.0
2022-01-12,Tarjetas,Línea 6,1650.0
2022-01-12,Tarjetas,Línea 7,4095.0
2022-01-12,Tarjetas,Línea 8,5835.0
2022-01-12,Tarjetas,Línea 9,3345.0
2022-01-12,Tarjetas,Línea A,3690.0
2022-01-12,Tarjetas,Línea B,5040.0
2022-01-12,Tarjetas,Línea 12,0.0
2022-01-12,QR/Validación,Línea 1,0.0
2022-01-12,QR/Validación,Línea 2,0.0
2022-01-12,QR/Validación,Línea 3,0.0
2022-01-12,QR/Validación,Línea 4,0.0
2022-01-12,QR/Validación,Línea 5,0.0
2022-01-12,QR/Validación,Línea 6,0.0
2022-01-12,QR/Validación,Línea 7,0.0
2022-01-12,QR/Validación,Línea 8,0.0
2022-01-12,QR/Validación,Línea 9,6555.0
2022-01-12,QR/Validación,Línea A,0.0
2022-01-12,QR/Validación,Línea B,0.0
2022-01-12,QR/Validación,Línea 12,0.0
2022-01-13,Boletos,Línea 1,671200.0
2022-01-13,Boletos,Línea 2,608075.0
2022-01-13,Boletos,Línea 3,484625.0
2022-01-13,Boletos,Línea 4,99925.0
2022-01-13,Boletos,Línea 5,215925.0
2022-01-13,Boletos,Línea 6,107425.0
2022-01-13,Boletos,Línea 7,236800.0
2022-01-13,Boletos,Línea 8,354975.0
2022-01-13,Boletos,Línea 9,243600.0
2022-01-13,Boletos,Línea A,308325.0
2022-01-13,Boletos,Línea B,475775.0
2022-01-13,Boletos,Línea 12,0.0
2022-01-13,Recargas,Línea 1,1170599.3
